day,replicate,alive,dead
1,1,190000,5000
2,1,440000,5000
3,1,1435000,10000
4,1,2720000,20000
5,1,6400000,60000
6,1,10080000,160000
7,1,20800000,240000
8,1,35840000,320000
9,1,77120000,640000
10,1,154880000,2560000
11,1,311040000,3840000
12,1,394240000,5120000
1,2,175000,5000
2,2,570000,5000
3,2,1365000,10000
4,2,2590000,20000
5,2,5100000,40000
6,2,11760000,80000
7,2,23440000,80000
8,2,47680000,640000
9,2,77760000,960000
10,2,145920000,1280000
11,2,282880000,2560000
12,2,596480000,5120000
1,3,190000,5000
2,3,595000,5000
3,3,1450000,10000
4,3,2620000,20000
5,3,4920000,60000
6,3,10560000,160000
7,3,19520000,160000
8,3,41600000,320000
9,3,103680000,640000
10,3,160000000,1280000
11,3,252160000,3840000
12,3,506880000,5120000
